Source,Actor Seg,Final Segment,Pickup,Delivery,Distinct Order Count,Product Name
WLN,CP,MM CP,,,1,AF COCP
WLN,CP,MM CP,,,121,Business Broadband
WLN,CP,MM CP,,,1147,ILL
WLN,CP,MM CP,,,30,MPLS
WLN,CP,MM CP,,,126,MPLS
WLN,CP,MM CP,,,234,SIP
WLN,CP,MM CP,,,3,Tollfree
WLN,CP,MM CP,,,1,AF COCP
WLN,CP,MM CP,,,6,ILL
WLN,CP,MM CP,,,2,MPLS
WLN,CP,MM CP,,,3,SIP
WLN,CP,MM CP,,,11,ILL
WLN,CP,MM CP,MTD,,3,ILL
WLN,CP,MM CP,MTD,,1,MPLS
WLN,CP,MSMB CP,,,56,Business Broadband
WLN,CP,MSMB CP,,,41,AF COCP
WLN,CP,MSMB CP,,,3380,Business Broadband
WLN,CP,MSMB CP,,,6241,ILL
WLN,CP,MSMB CP,,,228,MPLS
WLN,CP,MSMB CP,,,1036,MPLS
WLN,CP,MSMB CP,,,3,ILL
WLN,CP,MSMB CP,,,1640,SIP
WLN,CP,MSMB CP,,,2,Society Centrex
WLN,CP,MSMB CP,,,322,Tollfree
WLN,CP,MSMB CP,,,4096,WIFI Hot Spot
WLN,CP,MSMB CP,,,7,AF COCP
WLN,CP,MSMB CP,,,6,Business Broadband
WLN,CP,MSMB CP,,,35,ILL
WLN,CP,MSMB CP,,,4,MPLS
WLN,CP,MSMB CP,,,5,MPLS
WLN,CP,MSMB CP,,,10,SIP
WLN,CP,MSMB CP,,,1,Enterprise WIFI
WLN,CP,MSMB CP,,,93,ILL
WLN,CP,MSMB CP,,,2,MPLS
WLN,CP,MSMB CP,,,22,MPLS
WLN,CP,MSMB CP,,,3,ILL
WLN,CP,MSMB CP,,,16,SIP
WLN,CP,MSMB CP,,FTD,3,ILL
WLN,CP,MSMB CP,,MTD,3,AF COCP
WLN,CP,MSMB CP,,MTD,10,ILL
WLN,CP,MSMB CP,,MTD,1,SIP
WLN,CP,MSMB CP,MTD,,5,AF COCP
WLN,CP,MSMB CP,MTD,,3,ILL
WLN,CP,MSMB CP,MTD,,1,MPLS
WLN,CP,MSMB CP,MTD,,1,MPLS
WLN,CP,MSMB CP,MTD,,1,SIP
WLN,CP,MSMB CP,MTD,,31,ILL
WLN,CP,MSMB CP,MTD,,1,MPLS
WLN,CP,MSMB CP,MTD,,25,MPLS
WLN,CP,MSMB CP,MTD,,8,SIP
WLN,CP,MSMB CP,MTD,MTD,1,AF COCP
WLN,Direct,MM Others,,,1,Business Broadband
WLN,Direct,MM Others,,,19,AF COCP
WLN,Direct,MM Others,,,338,Business Broadband
WLN,Direct,MM Others,,,1575,ILL
WLN,Direct,MM Others,,,31,MPLS
WLN,Direct,MM Others,,,182,MPLS
WLN,Direct,MM Others,,,289,SIP
WLN,Direct,MM Others,,,81,Tollfree
WLN,Direct,MM Others,,,2274,WIFI Hot Spot
WLN,Direct,MM Others,,,3,AF COCP
WLN,Direct,MM Others,,,8,Business Broadband
WLN,Direct,MM Others,,,11,ILL
WLN,Direct,MM Others,,,6,MPLS
